empleo,codigo,salario
Acomodador de parqueos (no chófer),TONC,12236.95
Contador privado *,TMED,432819.25
Limpiador de piscinas (sin químicos),TONC,12236.95
Acompañante en buseta escolar,TONC,12236.95
Contador privado *,DES,576094.24
Limpiador de tanques sépticos,TOC,13767.45
Adiestrador de animales,TOC,13767.45
Llantero,TOSC,13306.79
Agente de aduanas,TES,24805.47
Locutor de radioemisora,TOE,15983.96
Agente de seguridad*,TOSCG,399203.69
Copiloto (Primer Oficial de Aviación),TES,24805.47
Locutor de televisión,TES,24805.47
Cortador de piezas tela (patrones),TOC,13767.45
Luminotécnico de televisión,TES,24805.47
Cosedor piezas (prendas a máquina),TOC,13767.45
Maestro de obras (Construcción),TOE,15983.96
Agente de ventas *,TOCG,413023.64
Costurera (Modista),TOE,15983.96
Manicurista; Maquillador,TOC,13767.45
Albañil,TOC,13767.45
Counter (Vendedor de pasajes) *,TOCG,413023.64
Masajista,TOC,13767.45
Alistador automotriz (lijador),TOSC,13306.79
Demostrador (display),TONC,12236.95
Mantenimiento correctivo de cómputo,TOE,15983.96
Analista de crédito *,TOCG,413023.64
Mantenimiento de edificios,TOC,13767.45
Animador de eventos,TOC,13767.45
Dependiente,TOSC,13306.79
Mantenimiento preventivo de cómputo,TOC,13767.45
Aplanchador con equipo de vapor,TOC,13767.45
Despachador de vuelo,TES,24805.47
Aserrador (usa sierra de motor),TOC,13767.45
Diagramador en artes gráficas,TOE,15983.96
Mecánico general,TOC,13767.45
Asistente de abogacía *,TOEG,476866.07
Digitador,TOC,13767.45
Mecánico precisión,TOE,15983.96
Asistente domicilio,TOE,15983.96
Ebanista,TOE,15983.96
Mecánico máquinas de coser industrial,TOE,15983.96
Educador aspirante sin título *,TOEG,476866.07
Auxiliar agente de aduanas,TOE,15983.96
Electricista,TOC,13767.45
Misceláneo *,TONCG,367108.55
Auxiliar de contabilidad *,TOCG,413023.64
Electromecánico,TOE,15983.96
Misceláneo hogares de la tercera edad,TONC,12236.95
Auxiliar dental,TOE,15983.96
"Empacador, etiquetador (manual)",TONC,12236.95
Monitoreador de cámaras de vídeo*,TOSCG,399203.69
Ayudante de cocina,TOSC,13306.79
Empleado de despacho,TOSC,13306.79
Montacarguista,TOSC,13306.79
Ayudante en mecánica general,TOSC,13306.79
Mucama,TONC,12236.95
"Ayudante de operario, construcción",TOSC,13306.79
Enderezador automotriz,TOC,13767.45
"Niñera, excepto en el hogar del niño",TONC,12236.95
Baqueano,TOSC,13306.79
Escaneador inventarios (hand held)*,TOSCG,399203.69
Oficinista (General) *,TOSCG,399203.69
Bodeguero (Encargado) *,TOSCG,399203.69
Esteticista,TOE,15983.96
Operador de apilador,TOSC,13306.79
Bodeguero (Peón) *,TONCG,367108.55
Operador de araña (Serigrafía),TOC,13767.45
Cajero *,TOCG,413023.64
Operador de cabina de radioemisora,TOE,15983.96
Camarero,TONC,12236.95
Operador de caldera,TOC,13767.45
Camarógrafo de prensa,TES,24805.47
Estilista,TOC,13767.45
Operador de excavadora,TOE,15983.96
Cantante,TOC,13767.45
Florista,TOC,13767.45
Operador de grúa estacionaria,TOE,15983.96
Cantinero,TOSC,13306.79
Fontanero,TOC,13767.45
Operador de maquinaria pesada,TOC,13767.45
Capitán de embarcación,TOE,15983.96
Fotocopiador (Centro fotocopiado),TOSC,13306.79
Operador de radio-taxi,TOC,13767.45
Cargador cilindros gas y extintores,TOSC,13306.79
Fotógrafo de prensa,TOE,15983.96
Operario en construcción,TOC,13767.45
Carnicero empleado de despacho,TOSC,13306.79
Fresador (Metalmecánica),TOE,15983.96
Ordeñador a mano,TONC,12236.95
Carnicero destazador,TOC,13767.45
Fumigador en casas y edificios,TOSC,13306.79
Ordeñador con máquina,TOC,13767.45
Carpintero,TOC,13767.45
Futbolista Primera División,TOE,15983.96
Catador,TOE,15983.96
Futbolista Segunda División,TOC,13767.45
Parrillero,TOSC,13306.79
Cerrajero,TOC,13767.45
Pastelero,TOC,13767.45
Chapulinero,TOC,13767.45
Pelador de camarón,TONC,12236.95
Chef,TOE,15983.96
Peón agrícola (labores manuales),TONC,12236.95
Chequeador de buses,TONC,12236.95
Cobrador *,TOSCG,399203.69
Peón de carga y descarga,TONC,12236.95
Cocinero,TOC,13767.45
Peón de construcción,TONC,12236.95
Coctelero (Bartender o Barwoman),TOC,13767.45
Gondolero,TONC,12236.95
Peón de jardín (labores manuales),TONC,12236.95
Conductor ambulancia (socorrismo),TOC,13767.45
Guía de turismo,TOC,13767.45
Peón de jardín (motoguadaña y similares),TOSC,13306.79
Conductor de bus (no cobra),TOC,13767.45
Hojalatero,TOC,13767.45
Peón de embarcación,TONC,12236.95
Conductor de bus (cobrador),TOE,15983.96
"Instalador vidrios (corta, pone marcos)",TOC,13767.45
Pilero (lavador de platos),TONC,12236.95
Conductor de tráiler,TOE,15983.96
Instructor de bailes,TOC,13767.45
Pintor automotriz,TOE,15983.96
Conductor de vehículo liviano,TOSC,13306.79
Instructor de gimnasio (sin título),TOC,13767.45
Pintor de brocha gorda,TOC,13767.45
Conductor de vehículo pesado,TOC,13767.45
Jardinero (diseña jardines),TOC,13767.45
Pistero (dispensa combustibles),TOSC,13306.79
Conductor microbús (menos 11 pasaj.),TOSC,13306.79
Joyero,TOC,13767.45
Pistero-cobrador (responsable dinero)*,TOCG,413023.64
Conserje *,TONCG,367108.55
Lavador y encerador de carros,TONC,12236.95
Pizzero (arma y hornea pizza),TOSC,13306.79
"¢258.376,22",TOE,15983.96
lleva datos y los interpreta).,TOCG,413023.64
"manager, monitorea y da respuesta).*",TOSCG,399203.69
Pizzero (cocinero),TOC,13767.45
Procesador inventarios (hand hell),TOC,13767.45
Programador computación (sin título),TOE,15983.96
Programador en radioemisoras,TOE,15983.96
Proveedor *,TOCG,413023.64
Recepcionista*,TOSCG,399203.69
Recolector de basura,TONC,12236.95
Relojero,TOC,13767.45
Repostero,TOC,13767.45
Sabanero,TONC,12236.95
Sacristán,TONC,12236.95
Seleccionador manual de residuos,TONC,12236.95
Salonero,TONC,12236.95
Sastre (Prendas a la medida),TOE,15983.96
Secretaria *,TOCG,413023.64
Secretaria *,TMED,432819.25
Secretaria *,DES,576094.24
Serígrafista (realiza diseño),TOE,15983.96
Serígrafista (Estampa diseños),TOC,13767.45
Soldador (Soldaduras Especiales),TOE,15983.96
Soldador en general,TOC,13767.45
Talador (usa sierra de motor),TOC,13767.45
Tapicero,TOC,13767.45
Taxista,TOC,13767.45
Técnico en aire acondicionado,TOC,13767.45
Técnico en aparatos ortopédicos,TES,24805.47
Técnico en lentes de contacto,TES,24805.47
Técnico refrig. doméstica/industrial,TES,24805.47
Técnico máq. coser ind. especiales,TES,24805.47
Técnico reparación audio y video,TES,24805.47
Telefonista *,TOSCG,399203.69
Vagonetero,TOC,13767.45
Verdulero,TOSC,13306.79
Volantero,TONC,12236.95
Zapatero,TOC,13767.45
